question,answer,tags
What is single-responsibility principle?,"In principle it  says that an implementation, class or function, should perform only one task or implementation and it, class or function, should be changed for only one reason.",general
What is open-closed principle?,"We are saying we should be able to extend software entities but also close them for modification. It means when you have any new requirement in application or module, we should be able to extend the functionality but also restrict modifying existing entity for it.",general
What is interface segregation principle?,The Interface Segregation Principle states that a client should not be exposed to methods it doesn’t need. Declaring methods in an interface that the client doesn’t need pollutes the interface and leads to a “bulky” or “fat” interface.,general
What is dependency inversion principle?,Dependency inversion principle is one of the principles on which most of the design patterns are build upon. Dependency inversion talks about the coupling between the different classes or modules. It focuses on the approach where the higher classes are not dependent on the lower classes instead depend upon the abstraction of the lower classes. The main motto of the dependency inversion is Any higher classes should always depend upon the abstraction of the class rather than the detail.,general
What is Agile software development? ,"Agile software development is a process that focuses on incremental delivery by the team as a whole. The project is broken up into small chunks that are able to be completed within a given timeframe called ‘sprints.’ In my previous role, we were quite successful in adopting the process. We used two-week sprints and kept high contact with many face-to-face discussions to review questions and concerns as they arose.",general
What activities come under the umbrella activities?,"The activities of the software engineering process framework are complemented by a variety of higher-level activities. Umbrella activities typically apply to the entire software project and help the software team manage and control progress, quality, changes, and risks. Common top activities include Software Project Tracking and Control Risk Management, Software Quality Assurance Technical Review Measurement Software Configuration Management Reusability Management Work Product Preparation and Production, etc.",general
What is Cohesion?,"Cohesion indicates the relative functional capacity of the module. Aggregation modules need to interact less with other sections of other parts of the program to perform a single task. It can be said that only one coagulation module (ideally) needs to be run. Cohesion is a measurement of the functional strength of a module. A module with high cohesion and low coupling is functionally independent of other modules. Here, functional independence means that a cohesive module performs a single operation or function. The coupling means the overall association between the modules. ",general
What is Coupling?,Coupling relies on the information delivered through the interface with the complexity of the interface between the modules in which the reference to the section or module was created. High coupling support Low coupling modules assume that there are virtually no other modules. It is exceptionally relevant when both modules exchange a lot of information. The level of coupling between two modules depends on the complexity of the interface.,general
What is Black box testing?,"The black box test (also known as the conducted test closed box test opaque box test) is centered around software useful prerequisites. In other words, it is possible to guess a set of information conditions that help the program through an attempt to discover and fulfill all the necessities perfectly. There is no choice of black-box testing white box procedures. Maybe it’s a complementary methodology, perhaps the white box method will reveal the errors of other classes. ",general
What is reverse engineering?,"Software Reverse Engineering is a process of recovering the design, requirement specifications, and functions of a product from an analysis of its code. It builds a program database and generates information from this. The purpose of reverse engineering is to facilitate maintenance work by improving the understandability of a system and producing the necessary documents for a legacy system. ",general
What are the elements to be considered in the System Model Construction?,"The type and size of the software, the experience of use for reference to predecessors, difficulty level to obtain users’ needs, development techniques and tools, the situation of the development team, development risks, the software development methods should be kept in mind. It is an important prerequisite to ensure the success of software development that designing a reasonable and suitable software development plan.",general
What is software re-engineering?,It is a process of software development that is done to improve the maintainability of a software system.,general
What is the difference between Bug and Error?,Bug is an Error found in the development environment before the product is shipped to the customer. Error is a deviation for actual and the expected/theoretical value.,general
Which model is used to check software reliability?,"A Rayleigh model is used to check software reliability. The Rayleigh model is a parametric model in the sense that it is based on a specific statistical distribution. When the parameters of the statistical distribution are estimated based on the data from a software project, projections about the defect rate of the project can be made based on the model.",general
Define adaptive maintenance?,"Adaptive maintenance defines as modifications and updations when the customers need the product to run on new platforms, on new operating systems, or when they need the product to interface with new hardware and software. ",general
What is regression testing?,Regression testing is defined as a type of software testing that is used to confirm that recent changes to the program or code have not adversely affected existing functionality. ,general
A regression testing primarily related to which testing?,Regression testing is primarily related to Maintenance testing.,general
Define Framework,A framework is the Code Skeleton that can be fleshed out with particular classes or functionality and designed to address the specific problem at hand.,general
 Define Software process,A software process is defined as the structured set of activities that are required to develop the software system.,general
 Define Software Prototyping,Software prototyping is represented as rapid software development for validating the requirements.,general
What is the principle of the prototype model?,A prototype is built to quickly determine to the user what the product would look like. The only minimal functionality of the actual product is supported during the prototyping phase.,general
What is Requirement Engineering?,Requirement engineering is the process of establishing services which the user required from the system and constraint under which it operates and is developed.,general
